student_id,student_name,stop_id,stop_address,walking_distance,walking_time,pickup_time,bus_number,emergency_contact
STU0114,Student_114,STOP_006,"Near 34.055113, -118.270559",0.90 miles,18 minutes,07:18,TBD,Transportation Office: 555-0123
STU0115,Student_115,STOP_008,"Near 34.039911, -118.247947",0.44 miles,9 minutes,07:24,TBD,Transportation Office: 555-0123
STU0116,Student_116,STOP_002,"Near 34.083211, -118.211192",2.10 miles,42 minutes,07:06,TBD,Transportation Office: 555-0123
STU0117,Student_117,STOP_001,"Near 34.053308, -118.244669",0.10 miles,2 minutes,07:03,TBD,Transportation Office: 555-0123
STU0118,Student_118,STOP_004,"Near 34.011256, -118.258943",1.32 miles,26 minutes,07:12,TBD,Transportation Office: 555-0123
STU0119,Student_119,STOP_008,"Near 34.039911, -118.247947",0.65 miles,13 minutes,07:24,TBD,Transportation Office: 555-0123
STU0120,Student_120,STOP_001,"Near 34.053308, -118.244669",0.92 miles,18 minutes,07:03,TBD,Transportation Office: 555-0123
STU0121,Student_121,STOP_002,"Near 34.083211, -118.211192",1.17 miles,23 minutes,07:06,TBD,Transportation Office: 555-0123
STU0122,Student_122,STOP_001,"Near 34.053308, -118.244669",0.09 miles,2 minutes,07:03,TBD,Transportation Office: 555-0123
STU0123,Student_123,STOP_007,"Near 34.051725, -118.224663",0.17 miles,3 minutes,07:21,TBD,Transportation Office: 555-0123
STU0124,Student_124,STOP_008,"Near 34.039911, -118.247947",0.93 miles,19 minutes,07:24,TBD,Transportation Office: 555-0123
STU0125,Student_125,STOP_001,"Near 34.053308, -118.244669",0.62 miles,12 minutes,07:03,TBD,Transportation Office: 555-0123
STU0126,Student_126,STOP_007,"Near 34.051725, -118.224663",0.29 miles,6 minutes,07:21,TBD,Transportation Office: 555-0123
STU0127,Student_127,STOP_001,"Near 34.053308, -118.244669",0.32 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0128,Student_128,STOP_002,"Near 34.083211, -118.211192",0.00 miles,0 minutes,07:06,TBD,Transportation Office: 555-0123
STU0129,Student_129,STOP_008,"Near 34.039911, -118.247947",0.93 miles,19 minutes,07:24,TBD,Transportation Office: 555-0123
STU0130,Student_130,STOP_001,"Near 34.053308, -118.244669",0.12 miles,2 minutes,07:03,TBD,Transportation Office: 555-0123
STU0131,Student_131,STOP_001,"Near 34.053308, -118.244669",1.20 miles,24 minutes,07:03,TBD,Transportation Office: 555-0123
STU0132,Student_132,STOP_005,"Near 34.079188, -118.242134",0.68 miles,14 minutes,07:15,TBD,Transportation Office: 555-0123
STU0133,Student_133,STOP_006,"Near 34.055113, -118.270559",0.77 miles,15 minutes,07:18,TBD,Transportation Office: 555-0123
STU0134,Student_134,STOP_007,"Near 34.051725, -118.224663",0.29 miles,6 minutes,07:21,TBD,Transportation Office: 555-0123
STU0135,Student_135,STOP_002,"Near 34.083211, -118.211192",0.72 miles,14 minutes,07:06,TBD,Transportation Office: 555-0123
STU0136,Student_136,STOP_008,"Near 34.039911, -118.247947",0.97 miles,19 minutes,07:24,TBD,Transportation Office: 555-0123
STU0137,Student_137,STOP_008,"Near 34.039911, -118.247947",0.27 miles,5 minutes,07:24,TBD,Transportation Office: 555-0123
STU0138,Student_138,STOP_001,"Near 34.053308, -118.244669",0.71 miles,14 minutes,07:03,TBD,Transportation Office: 555-0123
STU0139,Student_139,STOP_007,"Near 34.051725, -118.224663",0.81 miles,16 minutes,07:21,TBD,Transportation Office: 555-0123
STU0140,Student_140,STOP_001,"Near 34.053308, -118.244669",0.30 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0141,Student_141,STOP_005,"Near 34.079188, -118.242134",0.79 miles,16 minutes,07:15,TBD,Transportation Office: 555-0123
STU0142,Student_142,STOP_005,"Near 34.079188, -118.242134",0.32 miles,6 minutes,07:15,TBD,Transportation Office: 555-0123
STU0143,Student_143,STOP_006,"Near 34.055113, -118.270559",1.46 miles,29 minutes,07:18,TBD,Transportation Office: 555-0123
STU0144,Student_144,STOP_006,"Near 34.055113, -118.270559",1.04 miles,21 minutes,07:18,TBD,Transportation Office: 555-0123
STU0145,Student_145,STOP_001,"Near 34.053308, -118.244669",0.46 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0146,Student_146,STOP_001,"Near 34.053308, -118.244669",1.09 miles,22 minutes,07:03,TBD,Transportation Office: 555-0123
STU0147,Student_147,STOP_001,"Near 34.053308, -118.244669",0.38 miles,8 minutes,07:03,TBD,Transportation Office: 555-0123
STU0148,Student_148,STOP_008,"Near 34.039911, -118.247947",0.08 miles,2 minutes,07:24,TBD,Transportation Office: 555-0123
STU0149,Student_149,STOP_007,"Near 34.051725, -118.224663",0.81 miles,16 minutes,07:21,TBD,Transportation Office: 555-0123
STU0150,Student_150,STOP_008,"Near 34.039911, -118.247947",0.35 miles,7 minutes,07:24,TBD,Transportation Office: 555-0123
STU0151,Student_151,STOP_005,"Near 34.079188, -118.242134",1.04 miles,21 minutes,07:15,TBD,Transportation Office: 555-0123
STU0152,Student_152,STOP_001,"Near 34.053308, -118.244669",0.53 miles,11 minutes,07:03,TBD,Transportation Office: 555-0123
STU0153,Student_153,STOP_002,"Near 34.083211, -118.211192",0.74 miles,15 minutes,07:06,TBD,Transportation Office: 555-0123
STU0154,Student_154,STOP_002,"Near 34.083211, -118.211192",1.22 miles,24 minutes,07:06,TBD,Transportation Office: 555-0123
STU0155,Student_155,STOP_001,"Near 34.053308, -118.244669",0.65 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0156,Student_156,STOP_004,"Near 34.011256, -118.258943",1.50 miles,30 minutes,07:12,TBD,Transportation Office: 555-0123
STU0157,Student_157,STOP_001,"Near 34.053308, -118.244669",0.34 miles,7 minutes,07:03,TBD,Transportation Office: 555-0123
STU0158,Student_158,STOP_001,"Near 34.053308, -118.244669",0.45 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0159,Student_159,STOP_001,"Near 34.053308, -118.244669",0.12 miles,2 minutes,07:03,TBD,Transportation Office: 555-0123
STU0160,Student_160,STOP_002,"Near 34.083211, -118.211192",1.29 miles,26 minutes,07:06,TBD,Transportation Office: 555-0123
STU0161,Student_161,STOP_001,"Near 34.053308, -118.244669",0.34 miles,7 minutes,07:03,TBD,Transportation Office: 555-0123
STU0162,Student_162,STOP_002,"Near 34.083211, -118.211192",0.89 miles,18 minutes,07:06,TBD,Transportation Office: 555-0123
STU0163,Student_163,STOP_008,"Near 34.039911, -118.247947",0.13 miles,3 minutes,07:24,TBD,Transportation Office: 555-0123
STU0164,Student_164,STOP_008,"Near 34.039911, -118.247947",1.11 miles,22 minutes,07:24,TBD,Transportation Office: 555-0123
STU0165,Student_165,STOP_001,"Near 34.053308, -118.244669",0.64 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0166,Student_166,STOP_002,"Near 34.083211, -118.211192",1.04 miles,21 minutes,07:06,TBD,Transportation Office: 555-0123
STU0167,Student_167,STOP_008,"Near 34.039911, -118.247947",1.19 miles,24 minutes,07:24,TBD,Transportation Office: 555-0123
STU0168,Student_168,STOP_001,"Near 34.053308, -118.244669",0.31 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0169,Student_169,STOP_001,"Near 34.053308, -118.244669",0.05 miles,1 minutes,07:03,TBD,Transportation Office: 555-0123
STU0170,Student_170,STOP_000,"Near 34.086016, -118.300085",1.53 miles,31 minutes,07:00,TBD,Transportation Office: 555-0123
STU0171,Student_171,STOP_001,"Near 34.053308, -118.244669",0.46 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0172,Student_172,STOP_001,"Near 34.053308, -118.244669",0.19 miles,4 minutes,07:03,TBD,Transportation Office: 555-0123
STU0173,Student_173,STOP_001,"Near 34.053308, -118.244669",1.21 miles,24 minutes,07:03,TBD,Transportation Office: 555-0123
STU0174,Student_174,STOP_007,"Near 34.051725, -118.224663",0.56 miles,11 minutes,07:21,TBD,Transportation Office: 555-0123
STU0175,Student_175,STOP_008,"Near 34.039911, -118.247947",0.62 miles,12 minutes,07:24,TBD,Transportation Office: 555-0123
STU0176,Student_176,STOP_001,"Near 34.053308, -118.244669",0.41 miles,8 minutes,07:03,TBD,Transportation Office: 555-0123
STU0177,Student_177,STOP_008,"Near 34.039911, -118.247947",0.06 miles,1 minutes,07:24,TBD,Transportation Office: 555-0123
STU0178,Student_178,STOP_008,"Near 34.039911, -118.247947",0.25 miles,5 minutes,07:24,TBD,Transportation Office: 555-0123
STU0179,Student_179,STOP_002,"Near 34.083211, -118.211192",1.88 miles,38 minutes,07:06,TBD,Transportation Office: 555-0123
STU0180,Student_180,STOP_004,"Near 34.011256, -118.258943",0.89 miles,18 minutes,07:12,TBD,Transportation Office: 555-0123
STU0181,Student_181,STOP_008,"Near 34.039911, -118.247947",0.63 miles,13 minutes,07:24,TBD,Transportation Office: 555-0123
STU0182,Student_182,STOP_001,"Near 34.053308, -118.244669",0.31 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0183,Student_183,STOP_008,"Near 34.039911, -118.247947",1.19 miles,24 minutes,07:24,TBD,Transportation Office: 555-0123
STU0184,Student_184,STOP_003,"Near 34.029460, -118.217263",1.00 miles,20 minutes,07:09,TBD,Transportation Office: 555-0123
STU0185,Student_185,STOP_005,"Near 34.079188, -118.242134",0.40 miles,8 minutes,07:15,TBD,Transportation Office: 555-0123
STU0186,Student_186,STOP_004,"Near 34.011256, -118.258943",0.00 miles,0 minutes,07:12,TBD,Transportation Office: 555-0123
STU0187,Student_187,STOP_006,"Near 34.055113, -118.270559",1.25 miles,25 minutes,07:18,TBD,Transportation Office: 555-0123
STU0188,Student_188,STOP_001,"Near 34.053308, -118.244669",0.40 miles,8 minutes,07:03,TBD,Transportation Office: 555-0123
STU0189,Student_189,STOP_006,"Near 34.055113, -118.270559",1.14 miles,23 minutes,07:18,TBD,Transportation Office: 555-0123
STU0190,Student_190,STOP_001,"Near 34.053308, -118.244669",0.83 miles,17 minutes,07:03,TBD,Transportation Office: 555-0123
STU0191,Student_191,STOP_003,"Near 34.029460, -118.217263",0.00 miles,0 minutes,07:09,TBD,Transportation Office: 555-0123
STU0192,Student_192,STOP_008,"Near 34.039911, -118.247947",0.21 miles,4 minutes,07:24,TBD,Transportation Office: 555-0123
STU0193,Student_193,STOP_000,"Near 34.086016, -118.300085",2.25 miles,45 minutes,07:00,TBD,Transportation Office: 555-0123
STU0194,Student_194,STOP_007,"Near 34.051725, -118.224663",0.80 miles,16 minutes,07:21,TBD,Transportation Office: 555-0123
STU0195,Student_195,STOP_003,"Near 34.029460, -118.217263",0.90 miles,18 minutes,07:09,TBD,Transportation Office: 555-0123
STU0196,Student_196,STOP_004,"Near 34.011256, -118.258943",2.94 miles,59 minutes,07:12,TBD,Transportation Office: 555-0123
STU0197,Student_197,STOP_002,"Near 34.083211, -118.211192",0.40 miles,8 minutes,07:06,TBD,Transportation Office: 555-0123
STU0198,Student_198,STOP_001,"Near 34.053308, -118.244669",0.94 miles,19 minutes,07:03,TBD,Transportation Office: 555-0123
STU0199,Student_199,STOP_000,"Near 34.086016, -118.300085",1.39 miles,28 minutes,07:00,TBD,Transportation Office: 555-0123
